分類	エリア	施設コード	施設名	テキスト	総合	サービス	立地	部屋	設備・アメニティ	風呂	食事	旅行の目的	同伴者	宿泊年月	投稿者	年代	性別	投稿回数
B_ビジネス	06_札幌	724	京王プラザホテル札幌	出張の際はいつも利用をさせて頂いております。いつもながら◎です。今後もよろしくお願いします。	4	5	5	4	4	-	-	ビジネス	一人	Thu Feb 05 00:00:00 JST 2015	バンザイ1960	50代	男性	17
B_ビジネス	06_札幌	934	ホテルダイナスティ	地図で見るより近く、徒歩5.6分でした。夜は駅近なのに静かで、さすがにすすきのとは違いました。食事も風呂も想像以上に良く  満足です。	4	4	4	4	4	5	4	レジャー	一人	Wed Oct 14 00:00:00 JST 2015	じゅんＰ6642	50代	男性	15
B_ビジネス	06_札幌	1636	札幌クラークホテル	コンビニ近いし、ホテル近辺には飲食店もあるよ！何より講習会場に近かったので個人的に凄く便利でした。また機会があったら泊まりに行きます！	4	4	4	4	3	3	-	その他	一人	Thu Jun 11 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	50125	リッチモンドホテル札幌駅前	北海道旅行の際に利用しました。リッチモンドホテルはよく利用させてもらっています。札幌駅から比較的近いですが、少しわかりにくい場所かなと思いました。部屋は非常に広く、とても快適でした。食事も美味しかったです。ただ、自由に選べるバイキングの部分をもう少し充実させて欲しいかなと思います。次回札幌を訪れた際にもまた利用しようと思います。	5	5	5	5	5	4	5	レジャー	一人	Mon Nov 02 00:00:00 JST 2015	アキロン	30代	男性	22
B_ビジネス	06_札幌	67899	ニコーカプセルホテル　リフレ	バースデープランが同じ値段で有るのに後から気づいたけど、その時にはもう利用日に満室だったのでプラン変更出来なかった。スタッフの方に言っても「予約時で無いとダメ」とのこと。どうせ誕生月に一度しか利用出来ないプランなのだからリフレ会員が誕生月に宿泊利用したら、無条件に当該サービスが適用されるようにして欲しい。なんか損した気分になる。	4	4	5	4	4	4	-	レジャー	一人	Sat Oct 10 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	502	札幌エクセルホテル東急	当日申し込みで、比較的高層階が取れてラッキーでした。早朝から用事があったのでチェックアウトを早くしましたが、もっとゆっくりとホテルライフを楽しみたかったと思います。	5	4	5	5	3	4	-	レジャー	一人	Wed Feb 18 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	27793	コンフォートホテル札幌南３西９	北海道の学校に通う娘が入院手術のためこちらを利用させていただきました。到着時から帰京まで娘のことが心配で気が気ではありませんでしたがホテルのスタッフの方々の笑顔や挨拶に大変救われました。朝食は無料でしたが品数は少なかったですが美味しくいただきました。ただ無線LANの速度が遅かったので多少イラッとしました。	4	4	4	5	4	4	4	その他	一人	Thu Dec 10 00:00:00 JST 2015	sbtk0816	50代	男性	3
B_ビジネス	06_札幌	559	センチュリーロイヤルホテル	エクスクルーシブフロアだったので期待していましたが、本当にすばらしかったです。様々なサービスもうれしかったです。例えば、冷蔵庫内すべて無料、有料テレビ見放題、アメニティの豊富さ、旅の最後に選んでとてもよかったです。地下道で液と直結していたのが選んだポイントでしたが、これも正解でした。	5	5	5	5	5	4	3	レジャー	家族	Wed Sep 16 00:00:00 JST 2015	とんちゃん５８	50代	女性	2
B_ビジネス	06_札幌	1636	札幌クラークホテル	フロントもスムーズ、アメニティーの中にフェイスシートパックが入っていたのに感激しました。	4	5	5	4	5	3	-	レジャー	一人	Sat Sep 05 00:00:00 JST 2015	のんのんYossy	40代	女性	1
B_ビジネス	06_札幌	1489	札幌東武ホテル	１人では広すぎる部屋でよかったのですが浴室を開けた瞬間嫌な臭いが漂ってました排水溝でしょうか？すすきのから適度にいい距離狸小路もすぐで立地はいい感じでした	3	3	4	2	3	1	-	ビジネス	一人	Thu Jan 22 00:00:00 JST 2015	羅王5425	40代	男性	7
B_ビジネス	06_札幌	67899	ニコーカプセルホテル　リフレ	立地や施設は良いですが、宿泊施設というよりはアミューズメント施設ですね。宿泊者へのサービス対応や意識レベルはかなり低いです。半日ムダにしてしまいました。	3	1	4	4	2	4	-	レジャー	一人	Sun Aug 09 00:00:00 JST 2015	inaka2000	50代	男性	4
B_ビジネス	06_札幌	140845	アパホテル＜札幌すすきの駅南＞	急遽宿泊したが、この価格で泊まれれば満足。	5	4	5	4	5	3	-	ビジネス	一人	Tue Jan 06 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	67259	クロスホテル札幌	滞在は全体を通して満足だったのですが、最後の駐車場でがっかり。車を出すのに30分以上も待たされました。しかも、だいぶ待ちますとしか言ってくれない係員さん…一体何十分待たせるの？というかんじて、その後の予定も大分狂いました。最後の最後で、滞在が良くない印象となってしまいました。	2	1	3	4	4	-	4	その他	恋人	Sun Jun 28 00:00:00 JST 2015	rikuman20	30代	女性	6
B_ビジネス	06_札幌	50747	天然温泉　ホテルパコジュニアススキノ（２０１６年６月１日よりプレミアホテル―ＣＡＢＩＮ―札幌）	細かい配慮があちらこちらにある感じです。コストパフォーマンスがよすぎです。	5	5	3	4	5	5	5	ビジネス	一人	Mon Feb 23 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	72781	ＪＲイン札幌	子供と2人での利用でしたので、安いセミダブル	5	5	5	5	5	5	5	レジャー	家族	Sun Jul 19 00:00:00 JST 2015	ゆうざる	40代	女性	1
B_ビジネス	06_札幌	67324	ティアラホテル札幌すすきの	非常棒!	5	5	5	5	5	5	5	レジャー	一人	Wed Jun 03 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	104743	三井ガーデンホテル札幌	駅から近く、便利で清潔。風呂も大きく、ゆったりと過ごせました。朝食もバイキングで北海道ならではのハスカップジャムがおいてあるなど、気が利いていて楽しく過ごせました。また機会があれば利用したいです。	5	5	5	5	5	5	4	ビジネス	一人	Wed Apr 22 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	10888	リッチモンドホテル札幌大通	レディスアメニティがステキでした。女子二人旅でしたが安心して過ごすことが出来ました。	5	5	5	5	5	4	4	レジャー	友達	Mon Sep 28 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	8480	札幌オリエンタルホテル	同じ金額でもっと良いホテルはいくらでもあるでしょう。気持ち悪くてシャワーにも入れませんでした。	1	2	3	1	1	-	-	その他	一人	Fri Nov 06 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	17678	シャトレーゼ　ガトーキングダムサッポロ　ホテル＆スパリゾート	リゾート気分を味わえました。夜遅くのチェックインだったのでくつろげる時間が少なく残念でした。スパもありましたが部屋のバスルームもピカピカで最高でした。また訪問したいです。	5	4	5	5	5	4	5	レジャー	家族	Fri Jun 12 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	104743	三井ガーデンホテル札幌	快適でした。部屋は他の方が書き込まれている通り狭かったですが、狭いなりにインテリアに工夫があり、何よりも清掃が行き届き清潔感が心地よかったです。ただ、今回はレジャーでの宿泊でしたが、ビジネスの場合もう少し広いデスクがほしいと思いました。最近はどこのホテルも朝食に力を入れているので、こちらの朝食がずば抜けて良いとは思いませんが十二分に満足できる内容でした。地の利と料金を天秤にかけると５点ですが、数多い札幌のホテルの中で、絶対に三井ガーデンに泊りたい、という事でもないので４点としました。	4	3	5	4	3	3	4	レジャー	家族	Sat Dec 05 00:00:00 JST 2015	LAVIE_CHAN	50代	男性	6
B_ビジネス	06_札幌	70730	スーパーホテル札幌・すすきの	洗練された都会的なホテルで、同行者もたいへん満足してくれました。次回もスーパーホテルを利用します。ありがとうございました。	4	4	4	5	4	4	4	レジャー	一人	Wed Dec 23 00:00:00 JST 2015	てらちゃん様	60代	男性	9
B_ビジネス	06_札幌	41399	プレミアホテル　中島公園　札幌（旧：ノボテル札幌）	閑散期ということもあり　格安で広い部屋を使えて最高でした。２１Ｆで良かったですね。窓から中島公園がきれいでした。また　泊まりたいですね。	4	3	4	5	3	4	4	レジャー	一人	Wed Oct 28 00:00:00 JST 2015	コール君2世	40代	男性	20
B_ビジネス	06_札幌	11232	アパホテル＜札幌大通公園＞	東西線沿線で探して２泊お世話になりました。部屋が狭い。。。床はほとんどありません。食事は事前(前日)に洋食か和食か決める感じです。お安く提供していただいたので不満ではないです。	3	3	4	2	3	-	2	ビジネス	一人	Thu Mar 05 00:00:00 JST 2015	5-Stars	30代	男性	12
B_ビジネス	06_札幌	145066	ホテル　ローヤルステイ・サッポロ	子供のオモチャを忘れてしまって、発送のお願いをしたら迅速に対応していただき、翌日には自宅に届きました。スタッフのみなさんもとても親切な方ばかりでした。ただ、たまたま隣だったお客さんが夜中に大声での喧嘩が始まり、ガタガタとうるさく、子供はすぐ寝てくれましたが、次の日は夫婦で寝不足でした…	5	5	5	3	4	3	-	レジャー	一人	Mon Apr 27 00:00:00 JST 2015	留３	30代	女性	1
B_ビジネス	06_札幌	7523	ホテルモントレ　エーデルホフ札幌	今回、出張で使用させていただきましたが、このねだんで、このレベルのホテルに泊まれるとは思いませんでした。ホスピタリティーもしっかりされており、大満足です。次回は観光でゆっくり行きたいと思います。ありがとうございました。	5	4	4	4	4	5	-	ビジネス	一人	Wed May 20 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	8908	ホテル札幌ガーデンパレス	部屋は一廻り広い部屋を用意していただき、とても寛げたです。１点要望があるとすれば、枕が柔らかく頭が沈んでしまうタイプだったので、個人的には合わなかったです。違うタイプの枕を選べるようにできればいいのですが…	4	4	4	5	4	4	-	レジャー	一人	Fri Nov 20 00:00:00 JST 2015	ty92818	50代	男性	112
B_ビジネス	06_札幌	1968	北海道第一ホテルサッポロ	地下鉄駅に近いため、立地条件はＯＫ。朝食については、品数は決して多くはないのですが、すべてが手作りの家庭的な料理で、かつ、とても美味しいです。朝カレーも最高でした。	4	3	3	3	3	3	5	レジャー	家族	Sun Nov 22 00:00:00 JST 2015	かっちゃん0648	50代	男性	10
B_ビジネス	06_札幌	140800	アパホテル＜札幌すすきの駅西＞	部屋が広くゆったり過ごす事が出来ました。今回が２回目の家族旅行での利用でしたが申し分なしです甥っ子が電車好きなので札幌宿泊時には必ず使いたいです。	5	5	5	5	5	4	-	レジャー	家族	Fri Jan 09 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	56806	ホテルルートイン　札幌駅前北口	とても良かったです。またよろしくお願いします。	5	5	5	5	5	5	5	ビジネス	仕事仲間	Sun Aug 09 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	15736	カプセル・イン札幌	立地が良くリーズナブルである。	4	3	5	4	4	3	3	レジャー	一人	Sat May 16 00:00:00 JST 2015	アヤワカ	50代	男性	2
B_ビジネス	06_札幌	791	ネストホテル札幌大通	連泊しました。立地条件は、大通り公園に近く、周りには食事をするところが多く問題なし。朝食は、品数は少ないですが、すべて、私の好みにドンピシャでしたので、選ぶ事無くすべて食しました。一つだけ言わせてもらうと、食事スペースが狭く、テーブルのレイアウトが悪いため、人にぶつかりまくります。	3	3	4	3	3	-	4	レジャー	家族	Wed Aug 12 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	142886	ホテルカイコー札幌	スタッフの皆さんの対応が丁寧で心地よかったです。特に清掃ご担当の方の心配りがありがたかったです。トイレと風呂が一緒じゃなければ、もう１ランク上の印象です。	4	4	3	4	3	2	-	ビジネス	一人	Fri May 15 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	1563	ホテルハシモト	中心部に近くて便利	3	2	4	2	2	2	-	レジャー	一人	Sat Apr 25 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	849	ロイトン札幌	静かで良かったです。フィットネスがなかなか便利でした。	4	4	3	4	3	4	3	レジャー	一人	Sat Jan 10 00:00:00 JST 2015	ago7069	30代	女性	45
B_ビジネス	06_札幌	54615	ホテルビスタ札幌　中島公園	2回目の宿泊になりました。特に風呂が気に入っています。洗い場があり、トイレ、洗面台が別で、自宅にいるようでくつろげます。また、機会がありましたら利用したいと思います。連れも大満足でした。	4	4	4	5	4	5	-	その他	家族	Sun Apr 19 00:00:00 JST 2015	としじいじ27	60代	男性	15
B_ビジネス	06_札幌	625	札幌アスペンホテル	出張で一泊しました。夜になると寒かったので、入浴剤のサービスはとてもありがたかったです。また、せっかくなので名物のラーメンが食べたく、聞いたところ親切に教えてくださいました。朝ご飯も驚くほど種類も豊富、食べ過ぎてしまうほど美味しかったです。とくにかぼちゃパンケーキはホイップバターもあり、食べ応え満点！お風呂もユニットにしては広く、足がゆったり伸ばせてよかったです。駅も近く、また出張の際には利用したいと考えています。フロントの方は研修中の方もふくめて丁寧で、とても感じがよかったのが印象的なホテルでした。	5	5	5	5	5	5	5	ビジネス	一人	Tue Nov 17 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	17678	シャトレーゼ　ガトーキングダムサッポロ　ホテル＆スパリゾート	少し老朽化は気になりましたが（お風呂とか、プールとか）、基本的にはサービスもよく、ジュニアスイートのお部屋は清潔で大満足でした！家族で利用するには、とてもよいと思います。息子はとにかく、プールとお部屋、そして朝食が嬉しかったようで、「ここに住みたい！今までで一番いい！！」と言ってました。小学校低～中学年の子供中心の旅行では、きっと大満足なのではないでしょうか。	4	4	3	5	4	4	4	レジャー	家族	Fri Aug 28 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	79254	ホテル京阪札幌	幼児二人連れて宿泊しました。チェックインしてすぐ子供用のアメニティを子供達に選ばせてくれて、人見知り場所見知りしがちな子供達でしたが優しいお兄さんお姉さんがいて嬉しそうでした。朝食も大変美味しかったです。また機会があればこちらに宿泊したいと思いました。	5	5	5	5	5	4	5	レジャー	家族	Mon Jan 12 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	18487	ホテル　アセントイン札幌	はじめての利用です。駅が近いのはとてめ良いです。隣にスーパーもありますし。料金は高めだと思います	3	3	4	3	3	3	-	レジャー	家族	Sat Nov 14 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	108354	東横イン札幌すすきの交差点	すすきの　ど真ん中　立地最高です。サウナありましたが　夜遊びしすぎで　利用できず。お勧めです。	4	3	5	3	3	3	-	レジャー	友達	Sat Jul 25 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	7523	ホテルモントレ　エーデルホフ札幌	到着が遅れてしまい、楽しみにしていたスパの時間がほとんどとれず…ギリギリの時間だったにもかかわらず、気持ち良く利用させていただきました。短時間でしたが、リラックスできました。また札幌に行く機会があれば、利用したいと思います。素敵な時間をありがとうございました!	5	5	3	4	4	5	4	レジャー	家族	Thu Dec 24 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	139991	ベッセルイン札幌中島公園	飛行機が飛ばず、急な当日予約でも手頃な価格で泊まれて感謝しております。室内、設備の 清潔感は前日泊まったシティホテルの比でなく素晴らしかったです。部屋に空気清浄機があるのはいいですね。また素材、高さを自分の好みで変えられる枕の工夫も関心しました。おかげで熟睡できました。朝食もできるだけ地の物を取り入れようという姿勢が好印象でした。1,000円という価格も内容的に適正かと。	5	5	5	5	5	5	5	レジャー	一人	Sun Jan 18 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	27793	コンフォートホテル札幌南３西９	地下鉄の駅から少し遠いですが、コンフォートホテルらしい朝食で満足しています。	4	4	3	4	4	3	5	レジャー	一人	Fri May 29 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	72781	ＪＲイン札幌	６月１４日　宿泊ベッドサイドの照明が調光できず、足元灯も無く、暗い中で寝て少々、不安でした。加湿空気清浄機が備え付けられているのは、良かったです。ハンドタオルが無いのが残念でした。近くにコンビニが２軒ありますが。商品の種類が少ないので、駅周辺のコンビニを利用した方が良いかも知れません。	3	3	4	3	3	3	3	その他	一人	Sun Jun 14 00:00:00 JST 2015	ポコ猫	60代	女性	1
B_ビジネス	06_札幌	50747	天然温泉　ホテルパコジュニアススキノ（２０１６年６月１日よりプレミアホテル―ＣＡＢＩＮ―札幌）	垢すりマッサージのサービス良。朝食はおいしい。	4	4	2	4	4	5	5	レジャー	一人	Sat Jun 13 00:00:00 JST 2015	kado1206	60代	男性	6
B_ビジネス	06_札幌	7523	ホテルモントレ　エーデルホフ札幌	洋風の変わった造りのホテルでとてもキレイなホテルでした。加湿機能のついた空気清浄器も設備されており快適に過ごせました。ドライヤーも、性能の良いドライヤーを使用していてうれしかったです。天然温泉のスパもとてもキレイでした。朝食も豪華でとてもおいしかったです。総合的にレベルの高いホテルでした。札幌旅行の時は、また利用させて頂きたいと思います。	5	4	4	5	5	5	5	レジャー	家族	Wed Apr 01 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	559	センチュリーロイヤルホテル	北海道旅行の際に夫婦で利用しました。駅から近くて便利なホテルです。大変広く、デザインも素敵なお部屋でした。冷蔵庫内フリー（缶ビール、お茶、お水、スミノフ、ナッツ）、コーヒーメーカー、ロクシタンのアメニティ、ビデオ見放題、朝夕の新聞がついてこのお値段なのがびっくりです。不思議なくらいです。週末も値段が変わりません。外に出るのがもったいないので部屋でゆっくりすごしました。唯一残念だったのは、利用した部屋は目の前がオフィスビルで、中の様子が丸見えだったことです。この値段なら次回もぜひ利用したいです。	5	5	5	5	5	5	5	レジャー	家族	Sat Dec 05 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	72781	ＪＲイン札幌	立地条件よく、出張ではいつも利用しています。出張での利用が多いため、デスクランプがあるのも嬉しいです。お部屋の明かりでは仕事がしにくいですもんね。朝食はご飯食なので、朝食のサービスを利用することは少ないですが、パンも数種類、サラダもあり、飲み物も選べてパン食を好む方にはうれしい内容だと思います。コーヒーを部屋に持ち帰れるのも嬉しいです。また利用したいと思います。	5	5	5	4	5	3	4	レジャー	一人	Thu Jun 11 00:00:00 JST 2015	youko8417	40代	女性	1
B_ビジネス	06_札幌	18175	Ｒ＆Ｂホテル札幌北３西２	立地は、よかったのに・・・・・・・・・・・・・	2	2	2	2	2	2	2	その他	友達	Mon Sep 14 00:00:00 JST 2015	jinko530	40代	女性	7
B_ビジネス	06_札幌	724	京王プラザホテル札幌	8月28日に宿泊しました。駅から近く、便利でした。	3	4	5	3	4	4	-	ビジネス	一人	Thu Aug 27 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	7523	ホテルモントレ　エーデルホフ札幌	ベッドがフワフワで、快適に眠れました！	5	4	5	4	4	4	3	レジャー	家族	Wed Jul 22 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	1131	ホテルモントレ札幌	駅～少し歩きますお部屋は普通です中の吹き抜けに面した部屋だとカーテンしっかり閉めないと対面の部屋からまる見えになります私はツインに泊まりましたが部屋は広かったし悪くはありませんおすすめかというとそれほどでもないといった感じでしょうか	3	3	3	3	3	3	3	ビジネス	一人	Fri Nov 27 00:00:00 JST 2015	CARDINA	50代	男性	9
B_ビジネス	06_札幌	169	札幌全日空ホテル	お部屋をツインにアップグレードしていただき、ゆったり宿泊できました。札幌駅から少し歩くので－☆1にしましたが、スーパーセールでお安く泊まれて満足しています。	5	5	4	5	5	5	-	レジャー	一人	Wed Mar 25 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	142610	ネストホテル札幌駅前	家族5人でお世話になりました。5人で就寝は手狭だろうとホテル側のご厚意でエキストラベットを入れて頂き快適、楽しい旅行になりました。又、朝食バイキングで山盛イクラ丼を堪能し満足度200％でした。札幌へ旅行の時は又宜しくお願い致します。	5	5	5	5	4	4	5	レジャー	一人	Thu Jul 23 00:00:00 JST 2015	ユニック2.93t	40代	男性	10
