分類	エリア	施設コード	施設名	テキスト	総合	サービス	立地	部屋	設備・アメニティ	風呂	食事	旅行の目的	同伴者	宿泊年月	投稿者	年代	性別	投稿回数
A_レジャー	01_登別	79364	滝本イン	他の方も書かれているように、一人旅や過剰なサービスを必要としない人にはお勧め。ここ7，8年は夕食を頼んでいない朝食のみだがおそらく大きく品質を落とさず、安定のレベル。ハッキリ言えば、変わらぬメニューでバイキングなのに狙って食べられて安心という状態。夕食も問題があったわけでなく、時間も縛られ量が多くもったいないと感じるようになったため。それに何年か前、そばにセブンイレブンが出来たのである意味、全国どこでも同じ味と価格を確保できるようになり、夕食時間にしらばれない自由さもありそれで代用してしまう状態。贅沢を言えば、ホテル内に自由に使える電子レンジなどがあると結構便利かも。その他を含めた瀧本さんの設備は、記憶にある20年近く前から大きな変化は無し。でも、他の方が言っている深夜の暖房停止は、今回は正直良く分からなかった。もっとも3月の宿泊でも窓を開けて眠れる人間なので当てにはならないが。むしろ、窓を開けていたせいで5時前からのカラスの鳴き声で目が覚めるレベル。（大きく窓を開けていると、窓枠にカラスが止まる。しかも、なかなか逃げない。）温泉はかなりの広さと多くの泉質がある本館が24時間楽しめる。連泊などで日中に利用する場合は、清掃との兼ね合いで部分的に使えなくなるが湯船の数が多いので、大きな問題にならない。むしろ、年々増えている外国人の団体客は、（過去には）大声で騒ぎまくる、タトゥー満載、バスタオルを湯船に入れるなどあるときも。今回は不快になることもあまり無く、良い旅行と思えるものに。アクセスについても何便かある新千歳からの連結バスは宿泊所を確認してくれてホテル目の前に止まってくれる親切さ。反対に残念なのは空港へ戻るもので、特にチェックアウト後について9時代の1便のみが少し残念。以前は本館と連携した無料の送迎バスがあっただけに余計に。しかし、気に入っているので、またおじゃまします。	4	4	5	3	3	5	4	レジャー	一人	Thu Mar 19 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	20613	洞爺湖　万世閣　ホテルレイクサイドテラス	先日はお世話になり、ありがとうございました。プラン名通り金額はとても満足しました。部屋タイプがお任せだったので、山側で洋室だったことに不満はありませんが、東館といって一番古いタイプの部屋だったので、設備が古く床頭台付近にデジタル時計がなかったのが、唯一の不満でした。デジタル時計でなくていいので部屋には時計があると過ごしやすかったです。あと、部屋から大浴場まで遠いので迷子になりそうで大変でした。もう少しわかりやすくなっていると助かります。お料理は個人的には夕食より朝食のほうがとても美味しくいただきました。手作りおにぎりを作っていた女性の方の対応が丁寧で素敵な笑顔でした。ご馳走様でした。	3	3	3	2	2	3	3	レジャー	家族	Sat Apr 11 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	9535	登別温泉　御やど清水屋	「北斗星」の予約が取れ、せっかくなので有名な登別に泊まることにしました。部屋は、和室を予約したのですが、運が良いことに、宿の好意で和＋洋の部屋を使わせていただきました。広くて、ちょっとリッチな気分です。浴場は「そんなに広くなくて、少し昭和っぽいです。」と案内の方が言ってましたが、決してそんなことは無く、十分きれいで、広くはありませんが、居心地の良い浴場です。独特の濁り湯がとてもよかったですよ。料理は毛がにがついたコースで、初めて「毛がにの洗い」を頂きました。これは絶品です。翌日は、朝早い出発でしたが、朝食も時間に合わせて早く用意してくれたり、サービスにも感謝です。	5	5	4	5	4	4	5	レジャー	家族	Sun Jan 25 00:00:00 JST 2015	aohmori	50代	男性	2
A_レジャー	01_登別	79364	滝本イン	宿泊するところはビジネスホテルだが、なんといっても隣接するホテル本館の入浴設備が利用できることが最大の魅力。ここの温泉施設は、おそらく百人程度の入浴客を一度に収容できるほどの広さがあり、三種類の泉質をもつ浴槽が露天風呂などをふくめると十以上ある。サウナ・プールなども備えているので、一時間以上ゆったりと温泉を楽しむことができる。食事も量・質ともに満足。札幌からの送迎バスもありがたかった。今後もぜひ利用したい。	5	4	4	4	5	5	5	レジャー	一人	Tue Feb 10 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	30109	登別温泉　第一滝本館	温泉の広さと清潔さが素晴らしかったです。夜の和会席料理は大変美味しかったですが、朝のバイキングはいまいちな味付けでした。フルーツも種類が少なく、パイナップルがシロップ漬けなのは残念です。部屋のエアコンをHiにしましたが暑くて寝つきが悪かったです。温泉が良かったのでトータル的には良いホテルでした。	4	4	4	2	4	5	5	レジャー	一人	Sat Jul 11 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	17810	洞爺サンパレス　リゾート＆スパ	とてもいい時間を過ごさせていただきました。部屋はさて置き、食事や大浴場、タヒチアンダンス、とても良かったです。また機会があったら利用しようと思います。	5	5	4	4	5	5	5	レジャー	家族	Sat Oct 17 00:00:00 JST 2015	魔津騎	40代	男性	7
A_レジャー	01_登別	106028	蟠渓温泉　湯人家	暖かくて、とてもステキなお宿でした。オーナーがステキで楽しかった食事もおいしく、量もちょうど良かったですお風呂もゆったりしていました。	5	4	4	4	4	5	5	レジャー	友達	Sat Jun 06 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	109022	心のリゾート　海の別邸ふる川	The view is great and my wife love the scenery very much.The Dinner is wonderful and the environment is peaceful and relaxing.Love it very much.	5	5	5	5	4	5	5	レジャー	家族	Sun Dec 27 00:00:00 JST 2015	littlefat	50代	男性	16
A_レジャー	01_登別	9691	登別温泉　ホテルゆもと登別	お風呂は良かったです。料理も量が多くてびっくりしました。	3	3	2	3	3	4	4	レジャー	家族	Wed Aug 12 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	149046	緑の風リゾート　きたゆざわ	以前の名水亭の時と殆ど変わらない。部屋もクロス張替、ベットのマット変えたくらいで、大浴場も洗い場など同じで遊歩道のお風呂が出来たくらい。食事も以前の方が良かったと思います。乃の風に宿泊した事があり、同じような感じかと思っていましたが、ただちょっとした改装みたいな感じで全然違いました。以前宿泊して今後宿泊予定 がある方がいらっしゃいましたら、以前と同じ感覚で行かれた方が良いと思います。大変残念な宿泊でした。	1	2	3	1	1	1	1	レジャー	家族	Fri Jul 24 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	30109	登別温泉　第一滝本館	大人2名子ども3名で1泊しました。以前から泊まってみたいホテルの候補の常に上位で、今回ようやく願いが叶いました。感想から言いますと、文句の付けようがないとてもサービスの行き届いた素敵なホテルでした。『かゆいところに手が届く』といったところでしょうか。幼児を連れての宿泊ですので、何かとバタつくのは当然なのですが、各所に必ず係りの方がいらっしゃって声をかけていただき、とても心穏やかに過ごせたことを実感しております。お風呂もプールも本当に大満足で、親子共々、宿泊でも日帰りでもまたすぐにでも行きたいと思っています。食事も品数が豊富で、子どもメニューも充実していてお腹いっぱいいただきました。欲を言うなら、お冷やのところに氷と、サラダのところにマヨネーズもがほしかったですね。大変楽しかったです。	5	5	5	5	5	5	5	レジャー	友達	Wed Nov 04 00:00:00 JST 2015	T1025	30代	女性	1
A_レジャー	01_登別	51198	望楼ＮＯＧＵＣＨＩ登別	何回か泊まらせていただいておりますが、今回は外国人観光客の方も多かったせいか別格旅館の雰囲気が少し無くなり残念でした。	4	4	3	5	5	4	4	レジャー	家族	Fri Sep 04 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	39175	登別温泉　登別グランドホテル	４月４日に家族四人でお世話になりました。バイキングでの食事でしたが、品数も多くておいしくて満足できました。朝食のジャムもたくさん種類があり、とてもよかったと思います。残念な点もありました。枕の硬さがやわすぎて、寝づらかったです。もう少し、固いものも用意していただけたら、うれしかったです。また機会がありましたら。利用したいです。	4	4	4	4	3	4	4	レジャー	家族	Fri Apr 03 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	39175	登別温泉　登別グランドホテル	楽しかったです。	5	5	5	5	5	5	5	レジャー	家族	Sun Jun 07 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	12568	登別温泉　ホテル　まほろば	テレビで紹介されていたのを見て行きましたが、放送内容とは随分違う部屋の感じ(畳がボコボコしていたり)にはがっかりしました。食事は内容が充実していてとても良かったです。テレビを見て期待しすぎたのですが、お値段の安さから考えると相応なホテルだとは思いました。	3	4	3	2	3	3	4	レジャー	家族	Sat May 23 00:00:00 JST 2015	うさ子825	40代	女性	1
A_レジャー	01_登別	80732	登別カルルス温泉　湯元オロフレ荘	1歳の子供と夫婦の3人でお世話になりました。セットで付いていた登別マリンパークニクスでは、子供がはしゃいで楽しめました。フロントの方から仲居さんまで、みなさん親切で、息子にも優しく対応して頂き、心地よく過ごせました。お風呂は、ひとつくらいもう少しぬるめの場所があると子供にはいいと思います。	4	5	4	5	4	4	5	レジャー	家族	Sun Sep 20 00:00:00 JST 2015	ポコ1219	30代	男性	41
A_レジャー	01_登別	10975	洞爺湖温泉　北海ホテル	洞爺湖を眺望でき景観は大変満足でした。接客もアットホーム的な対応で好感出来るものでした料金的には仕方が無いのですが、部屋がもう少し良ければ大満足でした。来年新幹線も函館まで開通するのですから、改装すればもっと集客出来るのではないかと思います。	3	3	4	3	2	4	3	その他	友達	Mon Sep 21 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	40684	源泉の湯宿　洞爺　ごきらく亭	クチコミを参考に宿泊しました。宿泊日の数日前にも関わらず空き室ありで予約できました。お部屋について、清潔感を期待される方にはおすすめできません。部屋入口のふすまの桟は埃で真っ白、押入れの敷居には綿ごみの固まり、茶びつの中にもホコリでお茶を飲む気にはなれませんでした。それから、エレベーター内の汚れと塵も気になりました。名物の花火はどの部屋からも湖が見えないのでで大きな音のみで観賞できないと思います。お風呂は湖畔亭を案内されそこを利用、湖の見えるお風呂でした。お手頃価格だったので仕方ないのかもしれません…	3	3	2	1	3	3	3	レジャー	一人	Wed Jul 08 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	78111	ホテル　ルートイン東室蘭駅前	9月12日～１４日と連泊しました。駅に近く、千歳空港行きの高速バス停も近くて便利です。ホテルそのものが新しいようできれいでした。次も利用しようと考えています。	4	4	4	4	4	4	4	ビジネス	一人	Sat Sep 12 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	30109	登別温泉　第一滝本館	ここのお風呂はたまげた！長いことあちこちの温泉行ってますけれど。	5	5	5	5	4	5	4	レジャー	家族	Sat Oct 24 00:00:00 JST 2015	tagaric	50代	男性	24
A_レジャー	01_登別	20613	洞爺湖　万世閣　ホテルレイクサイドテラス	房間很舒適，飲食很合胃口，服務人員非常親切。	5	5	4	5	5	5	5	レジャー	友達	Mon Sep 28 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	39175	登別温泉　登別グランドホテル	登別での定宿として、いつも利用しています。温泉、朝食満足です。お部屋は経年劣化で仕方ありませんが、清掃が行き届いているので、満足。	4	4	5	4	4	5	5	レジャー	家族	Sat Apr 18 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	29995	洞爺湖温泉　洞爺山水ホテル　和風	食事もおいしく、色々とこちらの我儘を聞いてくださって、ありがとうございました。お湯も大変よく3回も入りました。非常に心地よかったです。ただ一点、サービスで食前酒とか、石鹸などあったのですが、こちらが言わないとそのまま流れになってしまいそうだったのが残念でした。しかし、トータルでは非常に良い印象です。また利用させて頂きたいです。	4	4	3	4	4	5	4	レジャー	家族	Sun Mar 29 00:00:00 JST 2015	mina9830	40代	女性	86
A_レジャー	01_登別	147105	大和旅館アネックス	ご飯は美味しかった。ただお手洗いのドア閉める音が大きくて、夜中ドア閉める音で起こして、全然寝れなかった。温泉は一つしかない。ちょっと少ないかな。	3	5	4	2	3	3	4	レジャー	一人	Tue Dec 29 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	9691	登別温泉　ホテルゆもと登別	今回、両親の長寿のお祝いということで宿泊させていただきました。到着後、宿泊の趣旨を伝えたところ、ちゃんちゃんこなどを準備いただき、祝いの品までいただきました。突然お伝えしたにもかかわらず、このように対応していただけるとは思っておりませんでした。おかげで両親も喜んでくれました。ありがとうございました。	5	5	5	5	5	5	5	レジャー	家族	Sun Sep 20 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	20613	洞爺湖　万世閣　ホテルレイクサイドテラス	洞爺湖は何度も訪れている場所ですが、当ホテルは初めてお世話になりました。数日前に空いてるホテルということで、特にこだわりもなく期待もしないで決めたホテルでしたが、以外と良いホテルで気にリました。お部屋も思っていた以上に広くて、檜風呂まで完備されており花火を見ながらのお部屋での入浴も楽しめました。バイキングでの食事も案内がスムーズでとても良かったです。今度はグレードＵＰした部屋での連泊も検討したいと思います。	4	3	4	4	3	4	4	レジャー	家族	Sat Sep 05 00:00:00 JST 2015	ハニカミ♪	50代	男性	8
A_レジャー	01_登別	29995	洞爺湖温泉　洞爺山水ホテル　和風	ビジネス利用しました。ゆっくりさせていただきました。また、利用したいと思います。	4	4	3	4	4	5	4	ビジネス	仕事仲間	Thu Sep 03 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	9691	登別温泉　ホテルゆもと登別	12月初旬に宿泊しました。毎年男4人の旅を楽しんでいますが、今回は大当たりでした。フロントの対応、食事、何より温泉が抜群でした。心身ともに大満足です。新千歳空港からとホテルから札幌市内への移動にも、うまく対応ができ交通面でも大変便利です。また熊牧場の熊が五郎丸ポーズをしていたのは愛嬌でした。	5	4	5	5	4	5	4	レジャー	友達	Mon Dec 07 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	17810	洞爺サンパレス　リゾート＆スパ	リニュアル前にもお伺いさせていただいたことがあるので、ロビーやフロント　大浴場や湯あがりどころの変化には驚きでした。また、サウナの木が新しい木のいい香りがしました。なかなか部屋まで全部リニュアルとはいかないでしょうから、この価格据え置きでしたら大満足の内容ではないでしょうか。食事の種類の多さにも驚きますが、あまり箸がすすむものはなかったように思います。子供には十分でしょうが・・・天ぷらはせっかく実演されているのでご指摘させていただければ、衣がまずいです。ほんとうにもったいない。アツアツの実演ですので衣を改良されるだけでぐんと良くなると思います。またビールは高すぎです。中ジョッキで７００円台は野球場だけです。あとは覚悟はしてきましたが、ものすごい人でした。たまにはそういうのにまぎれるのもいいですが、ゆっくりは・・・できませんね。	4	5	4	3	4	5	4	レジャー	家族	Fri Mar 27 00:00:00 JST 2015	エージェントP	40代	男性	32
A_レジャー	01_登別	30109	登別温泉　第一滝本館	部屋食なのでゆっくり静かに食事ができました。思っていたよりも量が多く満足でした。	5	4	4	4	5	5	4	レジャー	家族	Fri Sep 04 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	12539	洞爺湖温泉　洞爺観光ホテル	今年２回目の宿泊で、宿のせいではありませんが、花火期待で行ったもののやや新鮮さがなくなったのが残念でした。	4	4	4	3	4	4	4	レジャー	家族	Sun Sep 06 00:00:00 JST 2015	たぬきのひろくん	60代	男性	8
A_レジャー	01_登別	12568	登別温泉　ホテル　まほろば	The location is great. The bus terminal to New Chitose Airport is just three minutes away. The buffet dinner is excellent, nothing to complain. The room would be better if a double bed can be chosen instead of having two single beds.	4	4	5	4	4	4	5	レジャー	恋人	Wed May 06 00:00:00 JST 2015	モニカ０３１８	20代	女性	1
A_レジャー	01_登別	80732	登別カルルス温泉　湯元オロフレ荘	静かな環境、掃除が行き届いており、とても快適に過ごせました。登別で行われている花火も、いい場所で見ることができ、とても満足です。一つだけ食事に関してですが、カニつきのプランでしたが、ボリュームがあり料理すべてを完食することができなかったのが残念です。（カニは２人で１パイくらいが適当な量でした。また、カニつきは通常メニューを１品減らしても良いかと）スタッフに方も、とても親切に対応していただき、また泊まりたいです。	4	5	4	5	4	4	4	レジャー	家族	Fri Jul 10 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	108792	ホテル　ローヤル	朝食が美味しい 特に地元産の牛乳は良かったですトイレもリニューアルされて綺麗でした	4	4	4	4	3	3	4	ビジネス	一人	Mon May 18 00:00:00 JST 2015	あゆとまこ	40代	男性	2
A_レジャー	01_登別	12539	洞爺湖温泉　洞爺観光ホテル	昔ながらの温泉宿で洞爺湖を楽しめました。用意していただいた景色も良く、夜の花火、翌朝の眺望が大変綺麗でした。	3	3	4	3	3	3	4	レジャー	家族	Sun Sep 20 00:00:00 JST 2015	伸介ちゃん	50代	男性	8
A_レジャー	01_登別	20613	洞爺湖　万世閣　ホテルレイクサイドテラス	当日予約にもかかわらず、素晴らしい部屋に宿泊できました。サービス・部屋・食事ともに申し分なく、再度利用したいホテルがまたひとつ増えました。	5	4	4	5	4	4	4	レジャー	家族	Sat Jun 20 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	12568	登別温泉　ホテル　まほろば	部屋は暗いイメージがあります。食事する場所は賑やかで乱雑。お風呂場は清潔感があまりないです。がっかりしました。	2	2	4	1	2	1	2	レジャー	家族	Tue Mar 31 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	70826	エスカル室蘭	旅程上で泊まらせていただきました。大きなお風呂がゆったりできてよかったです。船員さんのお宿らしかったです。	3	3	3	3	3	4	-	レジャー	家族	Sat Aug 08 00:00:00 JST 2015	泰星のほいとう	50代	男性	61
A_レジャー	01_登別	25167	ＳＴＡＴＩＯＮ　ＨＯＴＥＬ　ＳＡＮＧＡ（ステーション　ホテル　サンガ）	折角の禁煙ルームなのに同じ階のエレベータ前に灰皿を置いて喫煙可能しているのなぜ？普通、ワンフロア全部を禁煙にするものではないの？前回泊まった時に風呂場の排水の逆流があったので今回は恐る恐るシャワー使用のみ。で、シャワールーム内はそれなりの汚れ具合です。部屋の作りは広めでくつろげますが、突然けたたましい音と振動がっ！！時間にして18:30～20:00まで続きました。宴会場でカラオケでもやっているのかと思う位の騒音！これはひどい。部屋の壁がズンズン振動するのは半端ないです。そう言えば、隣家でバンド練習をやっているとのクチコミ情報を見た気が…。前回宿泊時は騒音に遭わずにラッキーだったんですかね。	2	3	2	3	2	1	-	ビジネス	一人	Wed Nov 18 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	104803	伊達ビジネスホテル　キャッスル	ホテルの売りである、食事に関しては、文句ありませんでした。お刺身をいただきましたが、素晴らしい一品でした。施設に関しては、値段を考えれば相応でありますが、ベッドはよいベッドを使用しており、寝心地はよかったです。駐車場は建物の前にあり、レンタカー等での使用は最適なホテルだと思います。	5	5	5	3	4	4	5	レジャー	一人	Fri Jun 19 00:00:00 JST 2015	もぐたん9221	40代	男性	10
A_レジャー	01_登別	17810	洞爺サンパレス　リゾート＆スパ	子供がいるのでプールと花火目当てでこちらを選びました。フロントのある1階フロアは広く綺麗で湖畔が見渡せて開放的でした。それに比べ、部屋があまりにも酷かったです。襖は破け、畳は波打ち、特にバスルームはカビだらけでとても使用出来ませんでした。プールとレストランは寒くてたまりませんでした。従業員の方々は数をこなすのに必死で、気分の悪くなる対応が目立ちました。温泉は洗い場と湯船が別れててゆっくりできました。タオルも用意されているので持ち込む必要もなく、アメニティも充実していましたよ。	3	2	3	1	3	4	2	レジャー	家族	Tue Sep 22 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	139962	ザ　レイクビュー　ＴＯＹＡ　乃の風リゾート	３名で和洋室利用でしたので、一人は畳の上に布団の利用です。フロントの説明では、「夕食時に布団を敷くので入室します。」との話でした。しかし、夕食前にお風呂を楽しんで戻ると、すでに布団が敷かれていました。急ぎでお風呂に入りましたので、バックは開いたまま、貴重品はテーブルの上、着替えはソファなど散らかっていました。どこまで見られたかと思うと大変不愉快でした。（貴重品の整理や、衣類などの整理をしてから食事に行くつもりでした。）大浴場までのルートがややこしい他は、大変素晴らしいホテルでしたのでちょっと残念です。	4	2	5	5	5	4	5	レジャー	家族	Fri Sep 25 00:00:00 JST 2015	白濁大好きマー	60代	男性	3
A_レジャー	01_登別	149046	緑の風リゾート　きたゆざわ	素晴らしい☆また行きまぁーす♪	5	4	5	4	5	5	5	レジャー	家族	Thu Sep 17 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	9691	登別温泉　ホテルゆもと登別	立地もよく 地獄谷までおみやげ屋さんが並んでおり 楽しみながら向かうことができました。ただ食事の際 刺身醤油のお皿にヒビが入っており お膳が醤油びたしになっており 残念でした。対応も気持ち良いものでなくガッカリでした。	4	4	5	3	3	4	3	レジャー	家族	Wed Jun 10 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	78111	ホテル　ルートイン東室蘭駅前	洞爺湖マラソン参加の為、洞爺湖湖畔のホテルに泊まりたかったのですが取れなかったのでこちらに宿泊しました。当日朝に朝食をしっかり摂った後部屋で着替えてＪＲで洞爺湖に向かい問題なく参加できました。（時間的余裕はあまりありませんが、充分間に合います）部屋はとても快適で、大浴場ではゆっくりくつろげましたし、朝食バイキングも種類が豊富でした。リーズナブルなのでマラソン参加者は（現地から距離は少しありますが）こちらに宿泊するのも手かな？と思います。	5	5	5	5	5	5	4	レジャー	一人	Sat May 16 00:00:00 JST 2015	竹富島6503	40代	男性	2
A_レジャー	01_登別	12568	登別温泉　ホテル　まほろば	食事の内容が替わって美味しくなくなっていました。以前は美味しかったのですが。	2	1	3	3	3	3	1	レジャー	家族	Sun Jun 21 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	29995	洞爺湖温泉　洞爺山水ホテル　和風	宿泊料金は安く、温泉は最高。少しお湯は濁っていますが、温泉って感じがしました。料理は部屋でも食堂でもどちらでも食べれて良かったです。朝食のバイキングコーナーのアスパラと温野菜はとてもおいしかったです。また、夜の花火も5分程度のところから見ることができてきれいでした。今度は連泊して、洞爺近辺を回ってみたいと思います。	5	5	4	4	5	5	4	レジャー	家族	Fri Jul 31 00:00:00 JST 2015	nakkah-tugaru	50代	女性	6
